keys;en;ru
TRGAMENAME;Jigits of the Great Steppe;Jigits of the Great Steppe
TRSTART;Start Game;Начать Игру
TRSETTINGS;Settings;Настройки
TREXIT;Exit;Выход
TRBACK;Back;Назад
TRFS;Fullscreen;Полный экран
TRLANG;Change language;Сменить язык
TRASAN;Asan;Асан
TRALI;Ali;Али
TRBERKEATA;Berke-Ata;Берке-Ата
TRZULAR;Zul'Ar;Зульяр
TRALID1_1;Hey, I've heard the village will be attacked by dzungars! Do you need help from the best Axeman of The Steppe, Asan?;Эй, я слышал, на деревню готовятся напасть джунгары! Тебе нужна помощь лучшего Мастера Топора Степи, Асан?
TRALID1_1A1;Sure, I need your courage to defend the villagers!;Конечно, мне не обойтись без твоей отваги во время защиты жителей!
TRALID1_1A2;I need to think, your boldness can get us in trouble;Мне нужно подумать, твоя безрассудность может доставить нам проблем
TRALID1_2;My axe will crush the invaders!;Мой топор разгромит захватчиков!
TRENDCONVERSATION;End conversation;Закончить разговор
